theme,emojis,answer,title
Fruits,🍎🍌,Apple Banana,"mm,"
Fruits,🍇🍉,Grapes Watermelon,",mm,"
Fruits,🍓🍒,Strawberry Cherry,jhjh
Fruits,🍍🥭,Pineapple Mango,
Fruits,🍑🍐,Peach Pear,
Fruits,🍊🍋,Orange Lemon,
Fruits,🥝🍈,Kiwi Melon,
Fruits,🍏🍇,Green Apple Grapes,
Fruits,🍌🍍,Banana Pineapple,
Fruits,🍎🍓,Apple Strawberry,
Animals,🐶🐱,Dog Cat,
Animals,🦊🐻,Fox Bear,
Animals,🐭🐹,Mouse Hamster,
Animals,🦁🐯,Lion Tiger,
Animals,🐼🐨,Panda Koala,
Animals,🐷🐮,Pig Cow,
Animals,🐵🦍,Monkey Gorilla,
Animals,🦒🦓,Giraffe Zebra,
Animals,🦬🦌,Bison Deer,
Animals,🐺🦝,Wolf Raccoon,
Vehicles,🚗🏍️,Car Motorbike,
Vehicles,🚚🚛,Truck Lorry,
Vehicles,🚌🚎,Bus Trolleybus,
Vehicles,🚲🛴,Bicycle Scooter,
Vehicles,🚂🚆,Train Railcar,
Vehicles,✈️🛫,Airplane Takeoff,
Vehicles,🚢⛴️,Ship Ferry,
Vehicles,🚁🛩️,Helicopter Small Plane,
Vehicles,🚔🚓,Police Car Patrol Car,
Vehicles,🚒🚑,Fire Truck Ambulance,
